ref_des,part_description,manufacturer,mfg_part_number,lcsc_part_number,jlcpcb_part_number,qty_per_unit,unit_price_usd_qty1k,source_notes
R1-R20,10K 0402 1% Resistor (20 total),Yageo,RC0402FR-0710KL,C25744,C25744,20,0.002,best-guess (verify)
R21-R28,100 Ohm 0402 5% LRA series resistor (8 total),Yageo,RC0402JR-07100RL,C105872,C105872,8,0.002,best-guess (verify)
L1,10uH 1.2A Power Inductor 0603 Shielded,TDK,SPM6530T-100M-HZ,C408266,C408266,1,0.28,best-guess (verify)
L2,2.2uH 2A Power Inductor 0603,Murata,LQH2MCN2R2M00L,C374773,C374773,1,0.18,best-guess (verify)
D1,Schottky Diode 40V 1A SOD-123,Diodes Inc,1N5819HW-7-F,C8598,C8598,1,0.05,training-data reference (verify)
D2-D3,ESD TVS Array USB/I2C lines SOT-363,Semtech,RCLAMP0524P.TCT,C145757,C145757,2,0.12,best-guess (verify)
Q1-Q2,N-Ch MOSFET 20V 3A SOT-23 power switch,Diodes Inc,DMN2004TL-7,C110590,C110590,2,0.06,best-guess (verify)
SW1,Tactile Button 6x3.5mm SMD IP67 sealed,C&K,KSR221GLFS,C393065,C393065,1,0.28,best-guess (verify)
SW2,Slide Switch SPDT for band select (433/868/915),CUI Devices,SS-12D01G3,C431541,C431541,1,0.12,best-guess (verify)
J1,USB Type-C 2.0 Receptacle IP67 rated with cap,Amphenol,12401812E4#2A,C2927038,C2927038,1,1.10,best-guess (verify)
J2,U.FL / IPEX Connector SMD for LoRa antenna,Hirose,U.FL-R-SMT-1,C295497,C295497,1,0.25,training-data reference (verify)
J3,U.FL / IPEX Connector SMD for GNSS antenna,Hirose,U.FL-R-SMT-1,C295497,C295497,1,0.25,training-data reference (verify)
J4,FPC/ZIF Connector 14-pin 0.5mm for flex band,Amphenol,10118194-0001LF,C411265,C411265,1,0.22,best-guess (verify)
LED1,Green Status LED 0402 1mA,Everlight,19-217/GHC-YR1S2/3T,C72043,C72043,1,0.015,best-guess (verify)
LED2,Red Battery LED 0402,Everlight,19-217/R6C-AL1M2VY/3T,C84263,C84263,1,0.015,best-guess (verify)
FLEX1,110x35mm 2-Layer Flex PCB Pyralux AP with stiffeners (custom),Custom / TTM / Rigiflex,CUSTOM-TACTILE-FLEX-001,N/A,N/A,1,18.00,best-guess (verify); custom fabrication — price at 1k qty from flex PCB specialist
PCB1,Control Pod 2-Layer Rigid PCB 60x40mm FR4,Custom JLCPCB,CUSTOM-TACTILE-POD-001,N/A,N/A,1,0.85,best-guess (verify); JLCPCB standard 2-layer quote at 1k qty
ENC1,6061-T6 Aluminum Pod Enclosure CNC Machined IP67,Custom machine shop,CUSTOM-TACTILE-ENC-001,N/A,N/A,1,12.00,best-guess (verify); CNC machined + anodized at 1k qty
SLEEVE1,Neoprene Forearm Sleeve with Velcro closure and MOLLE tab,Custom sewn,CUSTOM-TACTILE-SLEEVE-001,N/A,N/A,1,4.50,best-guess (verify)
MISC1,EPDM O-ring kit M2 SS fasteners thread locker foam pads,Various,N/A,N/A,N/A,1,1.20,best-guess (verify); miscellaneous hardware kit
